Data,Atendimentos diários,Ouvidorias,Controle,Ouvidorias L1,Ouvidorias L2,Ouvidorias L3,Ouvidorias L4,Controle L1,Ouvidorias demais níveis,Controle demais níveis
01/09/2022,565,14,"2,48%",0,1,0,3,"0,00%",14,"2,48%"
02/09/2022,394,11,"2,79%",0,0,0,1,"0,00%",11,"2,79%"
03/09/2022,100,2,"2,00%",0,0,0,0,"0,00%",2,"2,00%"
04/09/2022,68,1,"1,47%",0,0,0,0,"0,00%",1,"1,47%"
05/09/2022,463,17,"3,67%",0,1,2,2,"0,00%",17,"3,67%"
06/09/2022,457,13,"2,84%",0,0,0,2,"0,00%",13,"2,84%"
07/09/2022,99,1,"1,01%",0,0,0,0,"0,00%",1,"1,01%"
08/09/2022,330,9,"2,73%",0,0,0,2,"0,00%",9,"2,73%"
09/09/2022,372,10,"2,69%",0,0,0,2,"0,00%",10,"2,69%"
10/09/2022,74,1,"1,35%",0,0,0,1,"0,00%",1,"1,35%"
11/09/2022,56,0,"0,00%",0,0,0,0,"0,00%",0,"0,00%"
12/09/2022,425,16,"3,76%",0,2,1,3,"0,00%",16,"3,76%"
13/09/2022,463,19,"4,10%",0,1,4,0,"0,00%",19,"4,10%"
14/09/2022,387,16,"4,13%",0,1,0,3,"0,00%",16,"4,13%"
15/09/2022,428,17,"3,97%",1,0,1,1,"0,23%",16,"3,74%"
16/09/2022,338,14,"4,14%",0,1,1,0,"0,00%",14,"4,14%"
17/09/2022,60,0,"0,00%",0,0,0,0,"0,00%",0,"0,00%"
18/09/2022,36,1,"2,78%",0,0,0,0,"0,00%",1,"2,78%"
19/09/2022,402,6,"1,49%",0,0,1,0,"0,00%",6,"1,49%"
20/09/2022,323,11,"3,41%",0,0,1,1,"0,00%",11,"3,41%"
21/09/2022,358,10,"2,79%",0,0,1,1,"0,00%",10,"2,79%"
22/09/2022,370,13,"3,51%",0,0,1,1,"0,00%",13,"3,51%"
23/09/2022,262,9,"3,44%",0,0,1,0,"0,00%",9,"3,44%"
24/09/2022,45,1,"2,22%",0,0,0,0,"0,00%",1,"2,22%"
25/09/2022,40,1,"2,50%",0,0,0,1,"0,00%",1,"2,50%"
26/09/2022,436,9,"2,06%",1,0,3,0,"0,23%",8,"1,83%"
27/09/2022,440,14,"3,18%",0,0,0,2,"0,00%",14,"3,18%"
28/09/2022,342,12,"3,51%",0,0,2,4,"0,00%",12,"3,51%"
29/09/2022,379,18,"4,75%",0,0,3,1,"0,00%",18,"4,75%"
30/09/2022,275,10,"3,64%",0,1,0,1,"0,00%",10,"3,64%"
01/10/2022,56,4,"7,14%",0,0,0,0,"0,00%",4,"7,14%"
02/10/2022,24,0,"0,00%",0,0,0,0,"0,00%",0,"0,00%"
03/10/2022,524,17,"3,24%",0,0,1,6,"0,00%",17,"3,24%"
04/10/2022,472,10,"2,12%",0,0,0,2,"0,00%",10,"2,12%"
05/10/2022,452,10,"2,21%",0,0,0,1,"0,00%",10,"2,21%"
06/10/2022,515,12,"2,33%",0,0,2,2,"0,00%",12,"2,33%"
07/10/2022,425,12,"2,82%",0,0,3,0,"0,00%",12,"2,82%"
